total inference, total end-to-end, avg inference, avg end-to-end, func
26.865,43.751,0.059,0.097,45.378334
27.489,44.587,0.061,0.098,46.287011
27.737,44.406,0.061,0.098,46.049303
27.261,43.806,0.060,0.097,45.623164
28.868,45.632,0.064,0.101,47.438831
26.561,43.378,0.059,0.096,45.056681
26.129,43.301,0.058,0.096,44.987471
27.395,44.571,0.060,0.098,46.142777
27.397,44.683,0.060,0.099,46.568627
27.630,44.403,0.061,0.098,46.118255
26.329,43.282,0.058,0.096,44.826231
26.656,43.751,0.059,0.097,45.423026
28.111,44.974,0.062,0.099,46.532282
26.012,42.696,0.057,0.094,44.348945
25.658,42.839,0.057,0.095,44.478453
26.486,43.279,0.058,0.096,45.031996
27.311,44.167,0.060,0.097,45.822008
28.000,44.965,0.062,0.099,46.636615
27.925,44.791,0.062,0.099,46.365698
26.910,44.415,0.059,0.098,46.014932
27.414,44.505,0.061,0.098,46.143827
26.671,43.729,0.059,0.097,45.2244
26.017,43.190,0.057,0.095,44.824241
26.557,43.483,0.059,0.096,45.123118
25.374,43.284,0.056,0.096,44.847684
27.229,43.948,0.060,0.097,45.590718
26.748,43.308,0.059,0.096,44.847615
26.928,44.131,0.059,0.097,45.696823
27.993,44.957,0.062,0.099,46.578763
26.876,43.614,0.059,0.096,45.149248
26.985,43.766,0.060,0.097,45.483955
27.100,43.443,0.060,0.096,45.030242
26.702,43.459,0.059,0.096,45.1116
27.176,44.079,0.060,0.097,45.697341
26.919,43.618,0.059,0.096,45.365083
26.382,43.257,0.058,0.095,44.725635
26.586,43.265,0.059,0.096,44.771899
26.920,44.142,0.059,0.097,45.814448
27.756,44.809,0.061,0.099,46.449259
27.324,44.124,0.060,0.097,45.76951
26.365,43.093,0.058,0.095,44.628947
26.161,43.222,0.058,0.095,44.791531
26.945,43.554,0.059,0.096,45.100374
27.801,44.600,0.061,0.098,46.236435
27.620,44.449,0.061,0.098,46.174386
27.997,45.226,0.062,0.100,46.858335
27.776,44.436,0.061,0.098,46.154028
27.788,44.557,0.061,0.098,46.220053
27.565,44.452,0.061,0.098,46.052227
27.447,44.281,0.061,0.098,45.993033
26.884,43.656,0.059,0.096,45.290763
25.972,42.777,0.057,0.094,44.481782
25.504,42.512,0.056,0.094,44.098666
27.147,43.771,0.060,0.097,45.229617
26.413,43.238,0.058,0.095,44.802505
26.764,43.425,0.059,0.096,44.969479
26.853,43.706,0.059,0.096,45.271507
26.697,43.276,0.059,0.096,45.040811
26.553,43.399,0.059,0.096,45.073196
25.908,42.588,0.057,0.094,44.243903
26.609,43.394,0.059,0.096,45.127459
25.584,42.144,0.056,0.093,43.65557
26.252,42.678,0.058,0.094,44.167015
27.028,43.954,0.060,0.097,45.606352
27.080,44.093,0.060,0.097,45.837728
28.289,45.389,0.062,0.100,46.966232
26.684,43.551,0.059,0.096,45.121408
27.218,43.914,0.060,0.097,45.593669
27.644,45.019,0.061,0.099,46.575243
26.725,43.642,0.059,0.096,45.111545
27.542,44.466,0.061,0.098,46.194607
27.921,44.627,0.062,0.099,46.601422
28.257,45.203,0.062,0.100,46.872907
27.090,43.980,0.060,0.097,45.648525
28.122,45.298,0.062,0.100,46.921068
27.297,43.839,0.060,0.097,45.504419
26.760,43.751,0.059,0.097,45.434002
26.344,43.215,0.058,0.095,44.847046
25.331,42.088,0.056,0.093,43.783205
28.312,45.894,0.062,0.101,47.541563
28.284,45.080,0.062,0.100,46.653275
26.773,43.708,0.059,0.096,45.389074
27.036,43.941,0.060,0.097,45.560477
27.040,43.997,0.060,0.097,45.705711
28.428,45.347,0.063,0.100,46.901622
26.787,43.289,0.059,0.096,44.83711
27.598,44.438,0.061,0.098,46.056652
28.689,45.635,0.063,0.101,47.260338
28.897,46.104,0.064,0.102,47.704045
27.813,44.917,0.061,0.099,46.608168
26.602,43.490,0.059,0.096,45.094888
26.859,43.585,0.059,0.096,45.105215
25.981,42.323,0.057,0.093,43.793444
27.769,44.821,0.061,0.099,46.463602
27.313,44.179,0.060,0.098,45.9638
26.922,43.509,0.059,0.096,45.326843
27.797,44.816,0.061,0.099,46.713822
28.768,46.023,0.064,0.102,47.738402
27.040,44.133,0.060,0.097,45.766912
27.923,44.546,0.062,0.098,46.267002
