total inference, total end-to-end, avg inference, avg end-to-end, func
6.960,23.738,0.015,0.052,25.897793
6.847,23.224,0.015,0.051,25.229041
7.020,24.426,0.015,0.054,26.58213
6.913,23.850,0.015,0.053,25.900033
6.955,23.558,0.015,0.052,25.59647
6.932,23.757,0.015,0.052,25.92012
7.075,23.893,0.016,0.053,26.061887
7.212,23.819,0.016,0.053,26.059034
6.977,23.753,0.015,0.052,26.083141
6.961,23.576,0.015,0.052,25.659645
7.057,23.987,0.016,0.053,26.115424
6.955,23.986,0.015,0.053,26.233227
6.964,23.862,0.015,0.053,26.086305
6.950,23.679,0.015,0.052,25.882778
6.951,23.753,0.015,0.052,25.87661
7.012,24.005,0.015,0.053,26.2413
7.061,24.152,0.016,0.053,26.156954
7.011,23.633,0.015,0.052,25.666928
6.969,23.470,0.015,0.052,25.410779
7.028,24.024,0.016,0.053,26.169848
6.993,23.488,0.015,0.052,25.947534
6.992,24.082,0.015,0.053,26.234172
6.952,23.703,0.015,0.052,25.943915
7.115,24.191,0.016,0.053,26.518112
7.007,24.083,0.015,0.053,26.375088
7.225,24.478,0.016,0.054,27.049523
7.046,24.061,0.016,0.053,26.237196
7.010,23.333,0.015,0.052,25.352155
6.955,23.710,0.015,0.052,25.736831
7.069,23.918,0.016,0.053,26.165169
7.199,24.549,0.016,0.054,26.895001
7.123,23.655,0.016,0.052,25.846244
7.010,23.425,0.015,0.052,25.491018
7.101,23.848,0.016,0.053,26.294242
6.957,23.869,0.015,0.053,25.933048
6.973,23.670,0.015,0.052,25.962572
7.079,24.058,0.016,0.053,26.388935
6.998,24.178,0.015,0.053,26.506188
6.971,24.027,0.015,0.053,26.176933
6.996,23.804,0.015,0.053,25.828751
6.968,23.912,0.015,0.053,25.914323
7.034,23.977,0.016,0.053,26.23963
7.003,24.219,0.015,0.053,26.338326
7.169,24.216,0.016,0.053,26.576962
6.996,23.792,0.015,0.053,25.934018
6.932,23.633,0.015,0.052,25.819307
7.141,24.376,0.016,0.054,26.647338
7.124,24.087,0.016,0.053,26.124692
7.068,24.080,0.016,0.053,26.245074
7.045,23.897,0.016,0.053,26.271228
7.159,23.627,0.016,0.052,26.100287
7.053,24.131,0.016,0.053,26.56258
7.034,23.567,0.016,0.052,25.645556
6.936,23.826,0.015,0.053,25.99785
7.013,24.350,0.015,0.054,26.454901
7.039,23.782,0.016,0.052,25.851247
6.987,23.953,0.015,0.053,26.15043
7.030,23.758,0.016,0.052,25.822435
7.020,23.247,0.015,0.051,25.280979
6.990,23.809,0.015,0.053,25.729744
6.943,23.625,0.015,0.052,25.634766
6.971,24.044,0.015,0.053,26.214783
6.956,24.821,0.015,0.055,27.013502
7.061,23.954,0.016,0.053,25.939824
7.137,23.958,0.016,0.053,26.12596
6.919,24.176,0.015,0.053,26.400164
7.097,23.859,0.016,0.053,26.005321
6.922,23.902,0.015,0.053,26.019582
6.964,23.964,0.015,0.053,26.044022
6.986,23.841,0.015,0.053,25.948499
6.890,23.569,0.015,0.052,25.570056
6.918,23.795,0.015,0.053,25.853893
6.879,24.030,0.015,0.053,26.06792
6.929,23.912,0.015,0.053,25.976677
7.120,24.199,0.016,0.053,26.297083
7.060,23.749,0.016,0.052,25.779665
6.910,24.052,0.015,0.053,26.129078
7.153,24.061,0.016,0.053,26.1695
7.011,23.635,0.015,0.052,25.726117
6.922,23.573,0.015,0.052,25.659754
7.062,24.235,0.016,0.053,26.379214
7.030,23.786,0.016,0.053,25.918773
6.981,24.113,0.015,0.053,26.467339
7.020,24.050,0.015,0.053,26.313017
6.964,23.791,0.015,0.053,25.903401
7.012,23.853,0.015,0.053,26.197309
6.899,23.290,0.015,0.051,25.456437
7.014,23.635,0.015,0.052,25.497384
6.866,23.684,0.015,0.052,25.735356
6.993,23.552,0.015,0.052,25.878065
7.100,23.854,0.016,0.053,26.109226
7.026,23.733,0.016,0.052,26.000713
6.982,23.727,0.015,0.052,25.803605
7.166,24.530,0.016,0.054,26.697976
7.111,23.655,0.016,0.052,25.875037
6.747,23.745,0.015,0.052,26.054662
7.127,24.039,0.016,0.053,26.332872
7.088,24.399,0.016,0.054,26.622539
7.032,24.151,0.016,0.053,26.300037
6.986,24.041,0.015,0.053,26.376907
